;0,00;0,00;
0,00;0,000000;0,000000;
0,05;0,000000;0,000000;
0,10;0,000000;0,000000;
0,15;0,000000;0,000000;
0,20;0,000000;0,000000;
0,25;0,000000;0,000000;
0,30;0,000000;0,000000;
0,35;0,000000;0,000000;
0,40;0,000000;0,000000;
0,45;0,000000;0,000000;
0,50;0,022496;0,022496;
0,55;0,022496;0,022496;
0,60;0,022496;0,022496;
0,65;0,022496;0,022496;
0,70;0,022496;0,022496;
0,75;0,022496;0,022496;
0,80;0,022496;0,022496;
0,85;0,022496;0,022496;
0,90;0,022496;0,022496;
0,95;0,022496;0,022496;
