;0,00;0,00;
0,00;0,000000;0,000000;
0,05;0,000000;0,000000;
0,10;0,000000;0,000000;
0,15;0,000000;0,000000;
0,20;0,000000;0,000000;
0,25;0,000000;0,000000;
0,30;0,000000;0,000000;
0,35;0,000000;0,000000;
0,40;0,000000;0,000000;
0,45;0,000000;0,000000;
0,50;0,012499;0,012499;
0,55;0,012499;0,012499;
0,60;0,012499;0,012499;
0,65;0,012499;0,012499;
0,70;0,012499;0,012499;
0,75;0,012499;0,012499;
0,80;0,012499;0,012499;
0,85;0,012499;0,012499;
0,90;0,012499;0,012499;
0,95;0,012499;0,012499;
