;0.0
0.0;0.0
0.05;0.0024999947916796842
0.1;0.004999958333749969
0.15000000000000002;0.007499859378163997
0.2;0.009999666679999485
0.25;0.012499348999020892
0.3;0.01499887510124079
0.35;0.017498213760480698
0.39999999999999997;0.01999733375993095
0.44999999999999996;0.02249620389370964
0.49999999999999994;0.024994792968420682
0.5499999999999999;0.02749306980470983
0.6;0.029991003238820136
0.65;0.03248856212414491
0.7000000000000001;0.03498571533277942
0.7500000000000001;0.03748243175707049
0.8000000000000002;0.03997868031116359
0.8500000000000002;0.042474429932548165
0.9000000000000002;0.044969649583600245
0.9500000000000003;0.04746430825312217
