;0.0
0.0;0.5
0.05;0.5062496744995104
0.1;0.5124973964842103
0.15000000000000002;0.5187412158785352
0.2;0.52497918747894
0.25;0.5312093733737563
0.3;0.5374298453437496
0.35;0.5436386872370789
0.39999999999999997;0.549833997312478
0.44999999999999996;0.5560138905446199
0.49999999999999994;0.5621765008857981
0.5499999999999999;0.5683199834782481
0.6;0.574442516811659
0.65;0.5805423048206596
0.7000000000000001;0.5866175789173301
0.7500000000000001;0.5926665999540698
0.8000000000000002;0.5986876601124521
0.8500000000000002;0.6046790847140094
0.9000000000000002;0.610639233949222
0.9500000000000003;0.6165665045213193
