;0.0
0.0;0.5
0.05;0.5012499973958399
0.1;0.5024999791668749
0.15000000000000002;0.5037499296890819
0.2;0.5049998333399998
0.25;0.5062496744995104
0.3;0.5074994375506203
0.35;0.5087491068802403
0.39999999999999997;0.5099986668799655
0.44999999999999996;0.5112481019468548
0.49999999999999994;0.5124973964842103
0.5499999999999999;0.5137465349023549
0.6;0.51499550161941
0.65;0.5162442810620724
0.7000000000000001;0.5174928576663897
0.7500000000000001;0.5187412158785352
0.8000000000000002;0.5199893401555818
0.8500000000000002;0.5212372149662741
0.9000000000000002;0.5224848247918001
0.9500000000000003;0.523732154126561
