;0.0
0.0;0.5
0.05;0.5112481019468549
0.1;0.5224848247918001
0.15000000000000002;0.5336988354329009
0.2;0.5448788923735801
0.25;0.5560138905446199
0.3;0.5670929049654543
0.35;0.5781052328843092
0.39999999999999997;0.5890404340586651
0.44999999999999996;0.5998883688639983
0.49999999999999994;0.610639233949222
0.5499999999999999;0.6212835951910678
0.6;0.6318124177361016
0.65;0.6422170929574377
0.7000000000000001;0.6524894621927444
0.7500000000000001;0.6626218371700825
0.8000000000000002;0.6726070170677605
0.8500000000000002;0.6824383021930648
0.9000000000000002;0.6921095043017883
0.9500000000000003;0.7016149536154008
